student_id,age,gender,state,city_tier,college_tier,branch,degree,cgpa,backlog_history,attendance_percentage,primary_language,DSA_problems_solved,GitHub_repos,hackathons_participated,development_projects_count,AI_ML_projects,internships_completed,resume_score,communication_skills,aptitude_score,mock_interview_score,sleep_hours,screen_time,gaming_hours,study_hours_daily,stress_level,burnout_score,gym_frequency,family_income_lpa,self_learning_hours,motivation_level,placement_status,company_type,work_mode,salary_lpa,interview_rounds_cleared,offer_count,joining_delay_months,layoffs_risk_score,AI_tool_usage_frequency,prompt_engineering_skill,AI_fear_score,adaptability_score
STU00016,22,Male,Telangana,3,3,Computer Science,BTech,7.15,1,79.7,Java,490,3,3,3,2,1,74,81,100,80,5.2,7.2,4,6.7,66,63,5,5.79,3.5,79,Placed,Service-Based,Hybrid,17.87,4,1,4,15,94,70,80,59
STU00017,24,Male,Gujarat,3,3,Computer Science,BTech,7.77,0,87.7,Go,925,11,4,5,3,3,84,88,76,83,4.5,10.7,0,7.3,60,49,4,6.65,3,63,Placed,Service-Based,Remote,22.17,4,1,1,40,60,59,79,72
STU00018,25,Female,West Bengal,3,3,Mechanical,MCA,6.26,0,100,JavaScript,518,18,4,5,1,2,73,78,76,97,7.4,5.8,4.7,8.4,8,56,2,7.67,4.3,82,Placed,Startup,Hybrid,14.7,3,3,3,34,56,58,21,69
STU00019,25,Female,Tamil Nadu,1,1,Information Technology,MCA,8.83,2,72.3,Go,619,23,1,6,2,2,82,91,78,74,3.8,7.2,2.7,8,85,85,1,1,6.3,93,Placed,Service-Based,Onsite,19.83,4,1,4,34,62,55,55,60
STU00020,23,Female,Uttar Pradesh,1,3,Civil,BE,8.18,0,61.3,C++,416,8,6,2,2,2,60,100,72,100,5.9,3.5,5.6,9.2,26,62,5,4.86,4.8,64,Placed,Startup,Remote,18.11,2,2,3,42,79,57,38,85
STU00021,24,Male,West Bengal,2,1,Computer Science,BTech,8.25,1,85.1,Java,474,12,0,3,0,2,100,90,81,80,7.1,9.3,6.1,7.5,84,15,1,10.59,2.8,72,Placed,Startup,Onsite,19.72,2,1,4,23,55,68,49,71
STU00022,20,Male,Tamil Nadu,3,3,AI & DS,BE,7.1,0,85.1,Go,700,12,1,6,0,2,90,65,95,86,5.7,3.9,3.2,6.5,50,50,2,9.09,5.4,80,Placed,MNC,Hybrid,15.55,1,3,4,54,76,56,43,40
STU00023,22,Male,Uttar Pradesh,2,2,Civil,BE,8.25,2,52.7,Go,696,3,5,1,1,0,74,100,56,90,6.7,9.8,2.6,10,71,44,0,9.34,3.4,71,Placed,Service-Based,Onsite,16.13,3,3,5,50,84,43,34,27
STU00024,21,Female,Maharashtra,2,3,AI & DS,MCA,6.84,0,86.3,Java,798,13,3,4,4,3,85,74,70,73,5.6,8.2,2.4,7.2,44,26,0,10.78,3.4,62,Placed,Service-Based,Onsite,16.62,1,1,2,32,72,100,47,39
STU00025,23,Male,Telangana,2,2,Computer Science,BE,9.39,1,69.6,JavaScript,645,2,2,1,0,1,73,82,72,30,4.4,5.3,2.4,10.5,61,41,1,13.52,3.1,72,Placed,Startup,Hybrid,19.36,4,1,2,60,68,60,55,77
STU00026,24,Male,Maharashtra,3,3,AI & DS,MCA,8.31,0,85.5,C++,760,16,0,6,3,3,100,91,88,89,4.9,6.2,3.2,9,55,66,6,2.07,3.6,81,Placed,Startup,Onsite,23.03,4,2,3,45,81,46,47,54
STU00027,23,Female,Karnataka,3,2,AI & DS,BE,7.22,0,82.3,Rust,654,28,3,13,7,6,100,85,100,66,8.1,4.7,0,9,72,35,2,8.37,5.3,84,Placed,Startup,Remote,22.71,3,2,0,29,66,84,56,71
STU00028,25,Male,Telangana,2,3,Information Technology,MCA,6.44,0,97.6,Go,646,21,2,4,1,0,66,92,78,99,7.5,9.5,1.3,7.6,64,43,2,6.68,2.1,100,Placed,MNC,Onsite,11.78,4,1,1,34,61,42,35,81
STU00029,22,Female,Telangana,2,2,Mechanical,BTech,8.34,1,98.8,Java,749,16,1,4,3,0,83,91,87,75,6.9,6,0,7.7,63,75,6,16.36,2.3,67,Placed,Service-Based,Hybrid,20.29,3,2,5,50,41,73,22,73
STU00030,22,Male,Delhi,2,3,Computer Science,BTech,6.99,0,90.5,Go,429,26,2,9,4,5,100,98,70,100,5.1,3.9,4.4,5.4,83,75,1,9.62,4.7,45,Placed,MNC,Remote,21.4,4,1,5,34,15,69,21,69
STU00031,23,Male,West Bengal,2,2,Computer Science,MCA,6.5600000000000005,0,92.9,Python,751,18,3,7,5,3,87,69,100,81,5.3,9.2,0,6.5,55,62,5,8.24,3.3,68,Placed,Startup,Onsite,21.24,5,3,4,19,63,56,27,89
STU00032,22,Female,West Bengal,2,2,Civil,BTech,6.36,0,80,C++,664,23,5,7,4,3,100,85,96,93,5.8,4.7,1.2,9.6,32,37,1,3.05,3.6,45,Placed,Product-Based,Remote,16.39,1,1,0,48,66,72,77,71
STU00033,20,Male,Delhi,1,3,AI & DS,BE,5.85,0,82.5,JavaScript,471,22,0,9,3,6,100,82,100,91,6.1,7.1,5.4,7.1,31,25,6,19.64,6.2,80,Placed,Service-Based,Hybrid,13.82,2,3,2,43,54,67,41,73
STU00034,24,Male,West Bengal,2,1,Computer Science,BTech,6.65,1,69.8,Python,604,22,2,8,4,3,89,66,97,62,7.3,7.1,0.7000000000000001,11.1,63,27,1,10.5,2.7,87,Placed,MNC,Hybrid,17.82,1,2,2,30,45,79,39,83
STU00035,25,Female,Maharashtra,1,3,Civil,MCA,7.39,0,84.7,Python,551,20,0,7,4,2,77,92,100,100,6,6.2,2.6,8.3,79,41,5,1,4.1,53,Placed,Startup,Remote,22.64,1,3,3,24,84,62,34,68
STU00036,21,Male,Karnataka,2,3,AI & DS,MCA,7.71,1,91.1,Java,471,18,0,6,3,3,84,81,62,83,6,8.6,1,8,79,9,5,12.07,3.3,74,Placed,Startup,Remote,19.3,4,2,3,50,38,48,30,61
STU00037,23,Female,Maharashtra,2,3,Electronics,BTech,5.73,0,73.7,Go,640,16,1,6,3,3,92,92,85,83,5.9,8.4,4.2,3.9,50,46,6,20.32,3.7,60,Placed,Startup,Hybrid,16.77,3,3,0,42,70,76,43,49
STU00038,21,Male,West Bengal,3,3,Information Technology,MCA,7.11,3,72.4,Python,626,10,2,7,2,2,80,80,70,86,7.8,5.7,4.6,7.6,40,15,6,4.33,2.8,61,Placed,Product-Based,Remote,15.43,4,2,1,27,32,54,21,37
STU00039,23,Female,West Bengal,2,3,Mechanical,BTech,7.9,0,74.1,Java,757,6,4,2,0,0,72,57,91,90,6.6,7.6,0,8.7,52,35,0,13.71,1.4,46,Placed,MNC,Onsite,17.04,2,2,1,28,76,39,44,84
STU00040,25,Other,Uttar Pradesh,3,2,Electronics,BE,6.39,2,71.9,JavaScript,572,18,5,6,3,3,100,87,46,72,7,6.7,2.3,8.6,55,59,0,6.94,3.9,69,Placed,Product-Based,Onsite,16.69,2,2,4,43,58,45,44,49
STU00041,23,Male,Maharashtra,3,3,AI & DS,MCA,9.09,0,86.6,Rust,764,19,1,5,1,1,70,81,91,78,5.4,10.2,0,9.3,69,40,6,13.62,2.2,74,Placed,MNC,Remote,18.14,5,2,1,9,67,44,34,73
STU00042,24,Female,Uttar Pradesh,2,3,AI & DS,BE,7.6,0,81.4,Java,740,18,4,10,4,3,100,95,69,92,6.9,9.4,1.4,6.3,84,50,0,7.33,4,58,Placed,Startup,Remote,20.75,2,1,0,44,82,77,42,83
STU00043,23,Male,Delhi,2,3,Civil,BE,6.97,0,71.8,Python,515,23,4,6,2,3,90,80,100,98,4.8,5.7,2.6,8.9,68,18,2,2.29,3.8,59,Placed,Product-Based,Remote,18.16,2,3,3,7,75,71,27,56
STU00044,22,Male,Gujarat,2,3,Mechanical,BTech,6.14,1,74.3,Java,593,35,3,9,5,5,100,84,99,66,5,6.9,5.5,7.4,47,54,1,8.5,5.1,63,Placed,Product-Based,Onsite,20.41,1,3,3,29,67,71,25,51
STU00045,24,Male,Karnataka,2,2,Computer Science,MCA,7.42,0,85.9,Go,690,18,0,6,3,4,100,87,61,91,4.9,6.9,0,5.3,78,46,0,3.88,4.3,77,Placed,MNC,Remote,20.26,5,1,1,63,80,27,49,86
STU00046,22,Male,Delhi,3,3,Information Technology,BE,7.64,0,70.9,JavaScript,603,20,1,5,2,2,94,86,71,62,7.2,7.2,1,7.3,65,42,0,15.91,3.9,97,Placed,Product-Based,Remote,18.45,3,1,1,65,40,57,65,72
STU00047,24,Female,Uttar Pradesh,3,2,Computer Science,BTech,7.69,0,69.4,JavaScript,485,18,5,9,3,5,100,98,87,92,5.1,5.8,1.3,8.4,39,53,2,16.96,5.2,57,Placed,MNC,Hybrid,20.9,5,1,3,43,65,72,22,52
STU00048,20,Female,Gujarat,2,3,Mechanical,BE,7.26,3,69,JavaScript,765,18,3,5,0,1,58,81,99,75,5.6,7.4,1.1,8.1,49,60,3,6.88,2.4,64,Placed,Product-Based,Remote,20.48,5,3,0,41,80,30,59,75
STU00049,25,Female,Delhi,2,3,Electronics,BTech,7.53,1,83.1,Java,622,5,2,2,0,2,83,60,91,61,7.1,9.2,3,7,71,47,6,1,3.2,44,Placed,MNC,Onsite,14.23,3,1,2,42,74,36,31,67
STU00050,20,Female,Telangana,3,3,Computer Science,BTech,6.91,1,79.9,Go,721,18,5,5,2,5,72,79,90,71,7.3,3.3,0.30000000000000004,8.2,82,51,1,6.26,4.6,68,Placed,Product-Based,Onsite,16.31,1,1,2,44,61,33,40,52
STU00051,24,Male,Tamil Nadu,2,2,Computer Science,MCA,7.94,0,81,Java,684,14,3,6,0,4,95,72,56,57,6.2,6.4,1.7000000000000002,7.2,52,33,0,4.1,4.3,56,Placed,Startup,Remote,19.61,3,3,0,39,58,41,74,54
STU00052,20,Male,Karnataka,1,3,AI & DS,BTech,6.25,0,79.7,JavaScript,700,38,3,11,5,6,100,90,99,83,4.6,7,3.6,8.2,59,59,0,6.49,5.2,89,Placed,MNC,Onsite,19.87,5,2,2,46,37,71,44,61
STU00053,24,Female,Delhi,2,2,Civil,MCA,9.74,0,68.7,Java,681,7,0,1,3,1,82,100,96,86,7.1,6.3,3.3,11,100,60,3,2.47,2.8,65,Placed,MNC,Hybrid,19.61,4,3,4,46,13,67,53,84
STU00054,24,Male,Telangana,3,1,Electronics,BTech,8.09,0,77.1,Rust,817,15,3,4,0,3,89,90,97,61,5.9,4,2.2,8.8,14,42,4,21.16,2.2,62,Placed,Service-Based,Remote,18.9,3,3,1,24,70,62,45,45
STU00055,23,Female,Gujarat,3,3,Mechanical,BTech,7.71,2,80.6,Rust,597,5,0,4,1,2,58,94,100,78,6.7,6.9,0.6000000000000001,8.3,87,57,4,4.67,4.4,68,Placed,Service-Based,Hybrid,19.57,4,2,1,17,100,35,8,94
STU00056,25,Female,Telangana,3,3,Computer Science,BTech,7.02,0,73.9,JavaScript,711,19,1,8,5,5,100,100,73,74,5.6,5.6,0.5,6.7,72,26,6,7.38,4.6,60,Placed,MNC,Remote,19.02,5,1,3,37,83,80,52,81
STU00057,21,Female,Delhi,3,1,Civil,BE,7.34,0,75.2,Python,640,7,5,4,2,2,69,83,74,100,6.8,7.6,2.5,5.5,60,10,4,1,4.7,57,Placed,Service-Based,Remote,20.31,1,3,5,40,86,55,86,77
STU00058,20,Male,Delhi,3,3,Electronics,BE,5.95,0,86.3,Python,561,4,1,4,3,2,71,100,73,67,6.7,5.4,1.3,6.3,72,55,3,1,2.3,72,Placed,Product-Based,Onsite,16.5,1,2,1,41,74,63,54,78
STU00059,21,Female,Gujarat,3,1,Civil,MCA,8.44,0,75.1,Go,644,13,3,6,4,2,57,92,100,73,4.4,9.8,2.5,8.8,67,41,5,11.35,2.4,46,Placed,MNC,Onsite,20.69,4,2,2,47,81,45,75,53
STU00060,25,Male,Gujarat,3,2,AI & DS,BTech,7.34,1,76.9,Python,715,10,2,5,0,1,69,74,100,67,5.3,5.6,2.1,6.5,57,58,6,6.8100000000000005,3.2,84,Placed,Service-Based,Remote,16.25,2,3,3,23,79,78,82,76
STU00061,23,Male,Karnataka,3,3,AI & DS,MCA,7.48,0,65.4,Python,741,21,1,8,4,4,98,89,77,100,8.7,8.1,2.8,6.1,59,33,4,12.52,4.6,76,Placed,Service-Based,Hybrid,20.63,1,1,3,19,84,52,30,65
STU00062,25,Male,Delhi,3,3,AI & DS,BE,7.5600000000000005,0,81,Python,676,6,4,2,1,2,46,79,91,70,7.5,7.6,3.7,7.7,100,32,2,8.24,3.8,63,Placed,Service-Based,Onsite,19.98,3,3,5,10,63,54,55,56
STU00063,24,Male,West Bengal,2,3,Electronics,BTech,7.54,1,78.6,Java,653,25,0,8,3,3,87,72,94,71,6.8,4.1,5.2,12,25,27,6,1.28,2.4,73,Placed,Product-Based,Hybrid,19.49,1,3,2,37,75,40,8,89
STU00064,21,Female,Maharashtra,2,3,Computer Science,BE,7.59,1,74.4,Python,732,17,0,3,2,2,81,96,62,78,5,4.9,0,7.2,63,75,0,1,2.6,68,Placed,Service-Based,Remote,17.3,3,3,4,50,77,69,66,57
STU00065,23,Female,West Bengal,1,3,Civil,MCA,6.72,0,84.7,JavaScript,612,36,3,11,6,3,80,95,69,100,5.6,5,0.9,6.7,64,41,5,1.12,3.5,73,Placed,MNC,Remote,19.7,1,3,1,58,43,81,53,86
STU00066,21,Female,Karnataka,3,3,AI & DS,BTech,5.93,0,72.6,Go,682,18,4,9,4,2,73,100,59,100,5.7,8.9,3.5,7.9,56,55,0,7.09,1.5,33,Placed,MNC,Hybrid,20.88,4,2,0,37,58,72,60,49
STU00067,23,Female,Tamil Nadu,2,3,Mechanical,BTech,7.6,0,78.1,Java,659,27,5,7,2,0,66,88,75,84,6.4,7.2,2.9,6.8,45,40,0,1,2.9,54,Placed,Service-Based,Hybrid,16.68,1,2,0,14,80,55,16,73
STU00068,21,Male,Maharashtra,3,2,Electronics,BTech,7.4,0,81.9,Rust,572,18,3,3,2,1,52,72,85,59,6.6,7.7,3.7,6.5,55,34,2,7.58,1.6,56,Placed,Startup,Onsite,16.75,2,2,5,19,65,41,42,54
STU00069,20,Male,Karnataka,2,3,Electronics,MCA,6.49,0,83.7,JavaScript,598,28,2,11,3,4,100,77,74,89,8.3,5,6.4,7.2,51,59,2,9.75,4.8,70,Placed,Startup,Remote,21.45,3,2,2,55,94,82,19,75
STU00070,21,Male,Tamil Nadu,2,3,Information Technology,BE,7.49,2,76.7,Java,717,2,0,2,2,0,70,79,72,86,5.5,2,2.4,9.2,39,28,0,8.77,3.3,44,Placed,Startup,Onsite,18.61,4,1,5,39,51,78,51,78
STU00071,20,Male,Telangana,1,3,Mechanical,MCA,9.81,0,85.9,Rust,736,8,3,7,4,3,99,100,100,83,4.6,5.8,1.1,7.3,38,52,1,1,4.5,85,Placed,Startup,Hybrid,20.48,1,1,5,27,37,45,59,65
STU00072,24,Female,Tamil Nadu,2,3,AI & DS,BTech,7.02,0,93.9,JavaScript,528,25,2,6,1,2,84,96,97,76,6.2,8.9,1.8,4.4,66,48,5,4.45,2.2,66,Placed,MNC,Hybrid,17.43,1,2,3,30,42,46,28,51
STU00073,21,Male,Delhi,1,2,Information Technology,BE,7.96,1,88.9,C++,855,37,4,12,7,7,100,65,88,63,6.2,10.4,2.7,7.6,62,38,1,9.4,7.8,75,Placed,Service-Based,Remote,26.91,1,3,3,40,81,68,18,61
STU00074,23,Other,Delhi,2,3,Computer Science,MCA,7.13,0,71.6,Python,758,9,0,4,1,1,63,97,78,78,6,2.6,2.8,8.9,80,53,2,7.08,3.7,74,Placed,Product-Based,Hybrid,14.7,1,3,3,39,62,45,73,31
STU00075,24,Female,Gujarat,3,3,Computer Science,BE,8.27,0,67.7,C++,545,9,3,6,2,1,96,78,81,68,4.5,5.7,0.4,6.5,39,73,2,12.71,3.9,100,Placed,Product-Based,Onsite,15.91,2,3,1,56,71,57,76,32
STU00076,20,Male,Telangana,1,3,Computer Science,BTech,8.26,0,81.5,C++,767,23,0,8,4,3,96,74,80,90,6.4,6.4,3.1,7.6,69,56,4,17.48,3.3,73,Placed,Startup,Onsite,22.69,1,2,4,29,75,75,24,61
STU00077,22,Male,Gujarat,3,1,Computer Science,BTech,8.97,0,83,Go,637,28,0,9,6,3,100,99,55,97,7.8,8.8,4.2,7.6,57,64,2,5.8100000000000005,5.1,73,Placed,Product-Based,Hybrid,28.08,1,3,0,44,33,87,53,49
STU00078,24,Female,Telangana,2,3,Mechanical,MCA,7.65,0,73.8,Go,550,32,3,10,1,3,100,98,94,90,6.4,8.5,2.6,9,33,52,2,10.14,3.7,67,Placed,MNC,Hybrid,18.32,5,3,0,38,65,66,44,71
STU00079,25,Male,Delhi,1,3,Electronics,BTech,7.05,0,73.9,Rust,573,13,2,5,2,2,65,77,89,59,4.6,4.4,1.6,8.8,85,41,5,9.18,2.4,52,Placed,Product-Based,Remote,16.05,3,2,0,35,66,57,75,53
STU00080,21,Male,Delhi,3,2,Electronics,BE,6.68,0,87.3,Java,556,18,3,11,7,4,100,89,81,100,8.8,7.1,3.8,7.9,53,0,0,3.61,5.5,73,Placed,Service-Based,Onsite,24.63,3,1,5,31,49,90,22,68
STU00081,24,Female,Telangana,2,2,AI & DS,BTech,7.17,0,64.8,Rust,780,11,1,5,1,1,77,92,56,76,4.9,5.1,1.3,7.8,66,54,2,9.46,2.8,36,Placed,Service-Based,Onsite,18.19,1,1,1,3,61,78,52,67
STU00082,20,Female,Gujarat,1,2,AI & DS,BE,7.43,0,62.5,C++,869,10,2,3,0,2,79,95,68,74,8.2,5.9,1.7000000000000002,9.5,45,38,5,8.5,2.9,52,Placed,Product-Based,Onsite,19.71,2,1,4,44,74,51,32,62
STU00083,22,Male,Gujarat,2,1,Civil,BTech,8.08,2,72.4,Python,828,25,0,7,4,3,98,92,100,73,6.3,3.1,5.3,7,72,42,5,7.46,3.2,57,Placed,Product-Based,Onsite,22.09,1,3,3,16,50,48,23,69
STU00084,20,Female,Uttar Pradesh,3,3,AI & DS,MCA,7.27,0,80.3,Python,281,19,3,7,5,3,92,100,62,93,8.1,5.5,4.2,8.8,82,27,0,1,2.8,70,Placed,Service-Based,Hybrid,15.78,5,3,5,31,97,73,72,34
STU00085,23,Male,Maharashtra,1,3,Electronics,BE,7.06,0,81.3,Python,595,13,2,4,3,2,56,83,68,76,6.9,10.8,2.8,8.4,28,19,0,10.08,2.7,74,Placed,Product-Based,Onsite,20.07,3,1,5,41,48,77,14,22
STU00086,20,Female,Telangana,3,3,Mechanical,BE,6.76,0,78.8,JavaScript,464,20,0,8,4,4,100,90,100,96,6.3,4.8,0,6.4,17,35,6,5.67,4.2,53,Placed,Startup,Onsite,16.36,2,2,4,8,56,55,37,59
STU00087,24,Male,West Bengal,2,3,AI & DS,BTech,7.13,2,80.5,Rust,571,38,2,10,5,3,64,86,81,88,6.7,3.8,0.2,8.3,49,49,5,6.87,3.9,92,Placed,MNC,Hybrid,23.48,5,2,5,24,38,67,74,42
STU00088,20,Male,Telangana,1,2,Computer Science,BTech,7.46,0,77.6,Rust,484,13,2,5,3,2,68,54,68,59,4.9,5.1,5,7.1,27,48,2,6.21,3.4,67,Placed,Service-Based,Remote,20.21,4,3,1,35,25,84,45,71
STU00089,25,Male,Delhi,2,2,Information Technology,BTech,6.78,0,81.6,Java,733,24,4,9,1,3,95,82,100,90,6.9,10.7,3.6,6.4,42,34,4,4.97,4.5,63,Placed,Startup,Hybrid,17.38,4,2,5,24,58,52,51,83
STU00090,25,Female,Karnataka,2,2,Mechanical,BE,7.1,0,84.1,Rust,723,24,5,8,4,3,100,90,84,80,6.5,3.3,0.8,5.6,90,37,1,15.7,5.1,100,Placed,Startup,Onsite,19.49,5,3,2,35,46,60,49,52
STU00091,20,Female,Uttar Pradesh,2,3,Mechanical,BE,7.04,0,74.4,Python,432,19,2,7,4,2,77,93,86,61,8.5,10.4,2.3,9.3,64,50,3,15.65,3.4,87,Placed,Startup,Onsite,17.04,3,2,0,48,63,80,45,100
STU00092,22,Male,Maharashtra,3,1,Computer Science,BE,8.16,0,75.8,Python,580,15,4,5,4,3,87,100,68,89,5.7,6.6,2.7,8,0,79,4,6.92,3.1,83,Placed,Startup,Onsite,23.78,3,1,4,45,41,86,68,67
STU00093,21,Male,West Bengal,3,3,Computer Science,MCA,7.69,0,75.4,Python,989,17,0,7,3,1,75,69,52,82,5.9,9.1,2,6.4,83,19,3,9.08,2,86,Placed,MNC,Hybrid,19.67,1,3,3,50,62,59,67,75
STU00094,21,Female,Tamil Nadu,1,2,Mechanical,MCA,8.76,0,67.1,Go,695,12,4,2,0,2,85,93,63,100,5.4,8.1,3.7,10.5,28,25,4,4.5,4.7,70,Placed,Service-Based,Hybrid,19.43,5,1,4,45,75,65,69,47
STU00095,25,Male,Uttar Pradesh,2,2,Civil,BE,7.37,0,75.9,Python,835,10,4,7,4,3,100,88,65,100,6.1,5.4,2.6,7.9,65,34,1,5.4,3.5,72,Placed,Product-Based,Hybrid,18.2,2,2,2,9,43,60,22,59
STU00096,25,Female,Gujarat,2,3,Information Technology,MCA,8.93,1,77.5,C++,850,29,1,10,7,5,100,93,93,75,5.7,8.8,2.4,9.3,38,16,5,1,4,77,Placed,Product-Based,Onsite,22.86,1,2,4,54,21,91,39,66
STU00097,25,Male,Delhi,2,1,Electronics,BE,7.82,0,73.9,Java,631,18,2,5,2,4,100,85,89,73,4.3,8.8,2.4,8.1,79,45,1,7.44,3.7,64,Placed,Service-Based,Remote,21.19,4,1,2,28,57,49,0,95
STU00098,22,Male,Gujarat,2,2,Electronics,BE,7.44,0,84.5,Go,670,15,4,5,5,1,61,78,89,83,5.9,6.3,3.5,9.2,30,63,6,13.77,4.4,65,Placed,MNC,Remote,20.13,4,1,3,0,62,77,26,82
STU00099,20,Female,Tamil Nadu,3,2,Information Technology,BE,7.34,0,72,Rust,617,20,4,8,4,3,85,86,100,72,6.1,7.1,4.6,8.1,70,41,5,10.51,1.5,55,Placed,Startup,Onsite,20.01,4,3,5,59,87,48,0,57
STU00100,24,Female,Delhi,2,2,Computer Science,BE,8.8,0,74,JavaScript,924,31,1,8,5,3,100,81,64,54,5.9,7.2,3.1,8.4,50,44,0,6.43,3.8,59,Placed,Service-Based,Onsite,22.31,3,3,4,30,42,69,62,96
STU00101,22,Male,West Bengal,1,2,Mechanical,BTech,8.37,1,66.8,Python,690,21,0,5,2,1,92,100,100,96,6.9,5.4,2,9.3,73,49,1,4.4,1.4,90,Placed,Product-Based,Hybrid,20,1,2,3,52,42,39,80,72
STU00102,23,Female,Maharashtra,3,3,Civil,BE,7.34,0,64.5,JavaScript,660,8,2,3,0,1,69,95,83,83,5,7.8,1.8,8.7,69,51,0,5.78,2.1,68,Placed,MNC,Hybrid,12.76,4,2,5,42,40,44,32,49
STU00103,21,Female,Gujarat,1,3,Mechanical,BE,7.86,0,79.5,Go,669,45,3,11,6,5,100,100,52,90,6.6,11.4,1.9,7.4,40,40,2,3.84,4.9,53,Placed,Startup,Hybrid,24.13,3,3,3,46,78,63,29,67
STU00104,22,Female,Delhi,1,3,Electronics,BE,8.38,1,90.2,JavaScript,844,17,5,9,4,4,100,84,80,74,7.2,7.7,5.1,9.6,50,64,6,6.98,3.9,64,Placed,MNC,Hybrid,18.21,3,2,4,42,79,55,24,60
